FoodName,Description,CarTime,Carbon,kCals,Fat,Sugar,Protein,ACAR,ALCO,BCAR,BCRYPT,BIOT,CA,CHO,CHOL,CL,CMON,CN3,CN6,CU,ENGFIB,FAT,FE,FOLT,FRUCT,GLUC,HFE,I,K,KCALS,KJ,LACT,MALT,MG,MILK,MN,NA,NCF,NHFE,NIACEQU,NMILK,OSUG,P,PANTO,PROT,RET,RIBO,SATFA,SE,STAR,SUCR,THIA,TOTCAR,TOTNIT,TOTSUG,TRANS,VITA,VITB12,VITB6,VITC,VITD,VITE,WATER,ZN
Apple,"One apple, 125 g",0.5638,43.706,64.0335,0.6278,14.5645,0.7533,0,0,17.5778,0,1.2556,6.2778,14.5645,0,55.2446,0.0628,0.0628,0.226,0.0377,1.6322,0.6278,0.1256,0,8.4122,2.6367,0,5.0222,125.5558,64.0335,269.945,0,0,5.0222,14.5645,0.0502,1.2556,7.8472,0.1256,0.1256,0,0,10.0445,0.1256,0.7533,0,0.0502,0.113,0,0,3.5156,0.0502,17.5778,0.1256,14.5645,0,2.5111,0,0.1256,7.2822,0,0.1256,108.2291,0
Banana,"One banana, 100 g",1.0706,82.9946,85.4744,0.1055,19.0999,1.2663,12.662845,0,21.104785,0,3.165695,6.331455,21.421335,0,115.021075,0.01053,0.021125,0.01053,0.105495,0.84422,0.105495,0.31655,14.77333,7.91427,8.33638,0,3.165695,348.228985,85.474415,367.223285,0,0,28.49145,19.09986,0.37986,0,6.595225,0.31655,1.05521,0,0,24.27048,0.42211,1.266265,0,0.042185,0.042185,0,2.32154,2.849145,0.147745,27.43624,0.211055,19.09986,0,4.22097,0,0.31655,9.1806,0,0.211055,79.14296,0.211055
Beans,"Tinned Baked Beans, 150 g",2.7991,216.9869,117.1729,0.7233,6.9436,7.2329,0,0,33.2713,0,4.3397,60.7563,21.6987,0,681.3389,0.0868,0.217,0.1881,0.3472,5.497,0.7233,2.0252,41.9508,1.1573,0.8679,0,0,393.4696,117.1729,496.1767,0,0,43.3974,0.7233,0.4774,377.5572,9.0411,2.0252,2.4592,6.2203,0,127.299,0.1447,7.2329,0,0.0434,0.1302,4.3397,14.7551,4.9184,0.3038,33.2713,1.1573,6.9436,0,5.7863,0,0.1447,0,0,0.5786,105.311,0.8679
Beef Mince,"Stewed or Cooked, 125 g",37.0875,2875,221.1872,10.872,0,30.8662,0,0,9.9972,0,1.24956,17.4951,0,93.7233,76.22838,4.31136,0.0999,0.18738,0.0999,0,10.872,2.87424,24.99282,0,0,1.12464,12.4965,349.90056,221.18724,927.2367,0,0,22.4937,0,0,93.7233,7.8102,1.74942,11.6217,0,0,206.19144,0.49986,30.86622,4.9986,0.16254,4.73616,9.9972,0,0,0.03744,9.9972,4.9986,0,0.5373,6.24816,3.3741,0.24984,0,0.68724,0.37494,83.22642,6.99804
Blueberries,100 g,1.5611,121.0118,40.3373,0.2017,9.1767,0.9076,0,0,14.118,0,2.0169,10.0843,9.1767,0,53.4469,0.1008,0.0504,0.0504,0.0605,1.5126,0.2017,0.6051,8.0675,5.2438,3.9329,0,2.0169,66.5565,40.3373,170.425,0,0,5.0422,9.1767,0.6958,2.0169,6.3027,0.6051,0.5042,0,0,16.1349,0.2017,0.9076,0,0.0403,0,0,0,0,0.0403,14.118,0.1008,9.1767,0,2.0169,0,0,5.8489,0,0.9076,86.4226,0.1008
Toast,"2 Slices of Toasted Bread, 80 g",1.2513,97,235.477,2.1625,3.364,7.9293,0,0,0,0,0.8009,141.7668,49.1778,0,648.7631,0.3444,0.0561,0.4886,0.1121,1.8422,2.1625,1.2815,20.0236,0.1602,0,0,3.2038,119.3404,235.477,1000.3767,0,3.1237,18.4217,3.364,0.3925,392.4617,4.5654,1.2815,2.8834,0,0,76.0895,0.3204,7.9293,0,0.0641,0.5286,4.0047,45.7338,0,0.2243,0,1.3616,3.364,0.024,0,0,0.0801,0,0,0.1602,22.106,0.6408
Bread,"2 Slices of Bread, 80 g",0.5418,42,241.0653,2.0343,3.7635,8.8492,0,0,0,0,1.0172,180.0361,50.0439,0,681.4926,0.4069,0.061,0.5899,0.1729,2.3395,2.0343,1.6274,24.4117,0.3051,0,0,4.0686,139.35,241.0653,1026.3075,0,3.4583,24.4117,3.7635,0.4984,406.8613,5.7978,1.6274,3.7635,0,0,99.681,0.4069,8.8492,0,0.0712,0.3662,6.1029,46.2805,0,0.2441,0,1.5257,3.7635,0.0203,0,0,0.1017,0,0,0.2034,39.1604,0.8137
Broccoli,"Cooked Fresh, 75 g",1.5549,120.5336,21.0934,0.3767,1.2053,2.486,0,0,450.4943,0,3.0133,26.3667,2.1093,0,37.6668,0.0377,0.0979,0.0452,0.0377,1.7327,0.3767,0.452,25.6134,0.6027,0.6027,0,1.5067,159.707,21.0934,89.6469,0,0,10.5467,1.2053,0.1507,4.52,4.7083,0.452,1.0547,0,0,44.4468,0.226,2.486,0,0.0452,0.0904,0.7533,0.5273,0,0.0301,450.4943,0.3767,1.2053,0,75.3335,0,0.0753,32.7701,0,1.2807,68.4028,0.3013
Butter,"Salted Butter, 2 tbsp",4.754,368.5293,237.131,26.1772,0.224,0.192,0,0,191.0488,0,0,5.7603,0.224,71.0433,318.0947,5.8563,0.2208,0.4672,0.0032,0,26.1772,0,0,0,0,0,12.1606,9.2804,237.131,975.4051,0.224,0,0.64,0.224,0,193.929,2.0417,0,0.032,0,0,7.3603,0.032,0.192,259.212,0.0224,16.9384,0,0,0,0,191.0488,0.032,0.224,0.976,291.2135,0.096,0,0,0.2784,0.608,4.7682,0.032
Tomatoes,1/2 a Tin of Tomatoes,0.7095,55,23.4538,0.1234,4.6908,1.3578,0,0,370.3236,67.8926,1.2344,13.5786,4.6908,0,91.3464,0.0246,0,0.037,0.0864,0.864,0.1234,0.7406,7.4064,2.3454,2.3454,0,2.4688,261.6954,23.4538,98.753,0,0,12.3442,4.6908,0.111,6.172,7.715,0.7406,1.111,0,0,20.985,0.1234,1.3578,0,0.037,0.0246,0,0,0,0.1234,404.8872,0.2468,4.6908,0,67.8926,0,0.1234,6.7892,0,1.7282,114.6768,0.1234
